,Ball_Count,PKG_Dimension,PKG_Height,RTD_SETUP,tester,equip_id,Due_Date,Suggest_Date,Last_PM,Event_Code,Code,Semi_State_ID,Standard_work_time,Location,Status,PM_duration,Type,Freq,Cur,Due,warning,critical,handler,NOTE
1426,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_128X_0.8-0.8_1126,SM3016-0002,TW322SM-0102,2022-07-27 23:59:00,2022-07-24 23:59:00,2022-04-28 01:01:05.920,PM 3 MONTH,TW322SM 3 MONTH PM,STANDBY             ,6.0,T01-TFC1-P0218,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0102,
1427,200B,200/264FBGA10X14.5,0.8-0.8,200/264FBGA10X14.5_128X_0.8-0.8_1126,SM3016-0002,TW322SM-0102,2022-07-29 23:59:00,2022-07-24 23:59:00,2022-01-28 17:59:47.817,PM 6 MONTH,TECHWING SEMI ANNUAL PM,STANDBY             ,8.0,T01-TFC1-P0218,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,182.0,30.0,1.0,TW322SM-0102,
1428,200B,200/264FBGA10X14.5,0.95-0.95,200/264FBGA10X14.5_256X_0.95-0.95_1311,SM3316-0147,SM3316-0147,2022-07-30 23:59:00,2022-07-29 23:59:00,2022-06-30 01:59:42.757,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1420,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0439,
1429,200B,200/264FBGA10X14.5,0.95-0.95,200/264FBGA10X14.5_256X_0.95-0.95_1311,SM3316-0147,SM3316-0147,2022-08-02 23:59:00,2022-07-29 23:59:00,N/A,PM 6 MONTH,6 MONTH PREVENTIVE MAINT,PRODUCTIVE          ,8.0,T01-TFC1-P1420,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,182.0,30.0,1.0,TW322SM-0439,
1430,496B,496/756FBGA14X12.4,0.69-0.71,496/756FBGA14X12.4_128X_0.69-0.71_1266,SM3316-0095,SM3316-0095,2022-08-18 23:59:00,2022-08-17 23:59:00,2022-07-19 03:09:36.633,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P1322,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0406,
1431,556B,556/841FBGA12.4X12.4,1.1-1.1,556/841FBGA12.4X12.4_64-128X_1.1-1.1_1104,SM3016-0122,TW322SM-0188,2022-07-23 23:59:00,2022-07-21 23:59:00,2022-06-23 14:02:45.367,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0318,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0188,
1432,556B,556/841FBGA12.4X12.4,1.1-1.1,556/841FBGA12.4X12.4_64-128X_1.1-1.1_1104,SM3016-0122,TW322SM-0188,2022-07-23 23:59:00,2022-07-21 23:59:00,2022-06-23 14:02:45.380,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0318,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0188,
1433,556B,556/841FBGA12.4X12.4,1.1-1.1,556/841FBGA12.4X12.4_64-128X_1.1-1.1_1104,SM3016-0122,TW322SM-0188,2022-07-23 23:59:00,2022-07-21 23:59:00,2022-06-23 14:02:45.397,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0318,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0188,
1434,556B,556/841FBGA12.4X12.4,1.1-1.1,556/841FBGA12.4X12.4_64-128X_1.1-1.1_1104,SM3016-0122,TW322SM-0188,2022-07-22 23:59:00,2022-07-21 23:59:00,2022-04-23 19:30:13.260,PM 3 MONTH,TW322SM 3 MONTH PM,PRODUCTIVE          ,6.0,T01-TFC1-P0318,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,90.0,14.0,1.0,TW322SM-0188,
1435,556B,556/841FBGA12.4X12.4,1.1-1.1,556/841FBGA12.4X12.4_64-128X_1.1-1.1_1104,SM3016-0122,TW322SM-0188,2022-07-23 00:00:00,2022-07-21 23:59:00,2022-07-08 03:17:45.930,PM ESD CDM 250V,TW322SM ESD 250V HALF MONTH PM,PRODUCTIVE          ,0.5,T01-TFC1-P0318,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,15.0,7.0,1.0,TW322SM-0188,
1436,180B,180/252FBGA12X14,1.1-1.2,180/252FBGA12X14_128-256X_1.1-1.2_DISSIPATIVE_1112,SM3016-0174,SM3016-0174,2022-08-10 23:59:00,2022-08-09 23:59:00,2022-07-11 23:24:56.687,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0106,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0237,
1437,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,TW322SM-0369,2022-08-02 23:59:00,2022-08-01 23:59:00,2022-07-03 14:30:31.747,CLEAN AND INSPECTION,CLEAN AND INSPECTION,PRODUCTIVE          ,0.5,T01-TFC1-P0926,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0369,
1438,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,TW322SM-0369,2022-08-14 23:59:00,2022-08-13 23:59:00,2021-08-14 06:34:35.120,Ionizer Pin change,Ionizer Pin change,PRODUCTIVE          ,0.5,T01-TFC1-P0926,WARNING             ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,365.0,30.0,1.0,TW322SM-0369,
1439,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,TW322SM-0369,2022-08-02 23:59:00,2022-08-01 23:59:00,2022-07-03 14:30:31.780,PM 1 MONTH,TW322SM 1 MONTH PM(FOR IONIZER),PRODUCTIVE          ,6.0,T01-TFC1-P0926,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0369,
1440,315B,315/315FBGA12.8X15,N/A,315/315FBGA12.8X15_256X_1.3_1329,SM3316-0044,TW322SM-0369,2022-08-02 23:59:00,2022-08-01 23:59:00,2022-07-03 14:30:31.810,PM 1 MONTH,TW322SM 1 MONTH PM(FOR MACHINE),PRODUCTIVE          ,6.0,T01-TFC1-P0926,COMING DUE          ,CONTINUOUS          ,TIME                ,DAY                 ,N/A,30.0,7.0,1.0,TW322SM-0369,
